T [s];X_acc [G];Y_acc [G];Z_acc [G];HX_acc [G];Pressure [Pa];Kalman pressure [Pa];Temperature [C];Vaxis [m/s];AltitudeFromPressure [m];AltitudeFromAcc [m];State;VelocityPressure [m/s];ParachuteFailureSenseCnt
0,5;1,10669610007358;0,047093451066961;-0,141280353200883;0,977099236641221;99598;99596;3,4;0;0;0;1;0;0;
0,51;1,09492273730684;0,0706401766004415;-0,117733627667403;0,977099236641221;99603;99597;3,7;0;0;0;1;0;0;
0,52;1,10669610007358;0,0706401766004415;-0,129506990434143;0,977099236641221;99590;99596;3,4;0;0;0;1;0;0;
0,53;1,09492273730684;0,0588668138337013;-0,141280353200883;0,977099236641221;99590;99596;3,7;0;0;0;1;0;0;
0,54;1,09492273730684;0,047093451066961;-0,105960264900662;0,977099236641221;99605;99596;3,7;0;0;0;1;0;0;
0,55;1,09492273730684;0,0706401766004415;-0,141280353200883;0,977099236641221;99588;99596;3,4;0;0;0;1;0;0;
0,56;1,0831493745401;0,0824135393671818;-0,129506990434143;0,977099236641221;99601;99596;3,4;0;0;0;1;0;0;
0,57;1,0831493745401;0,0235467255334805;-0,094186902133922;0,977099236641221;99569;99595;3,4;0;0;0;1;0;0;
0,58;1,11846946284032;0,0824135393671818;-0,129506990434143;0,977099236641221;99597;99594;3,4;0;0;0;1;0;0;
0,59;1,10669610007358;0,0235467255334805;-0,141280353200883;0,977099236641221;99580;99594;3,4;0;0;0;1;0;0;
0,6;1,07137601177336;0,047093451066961;-0,117733627667403;0,977099236641221;99587;99593;3,4;0;0;0;1;0;0;
0,61;1,11846946284032;0,0588668138337013;-0,117733627667403;0,977099236641221;99613;99594;3,7;0;0;0;1;0;0;
0,62;1,09492273730684;0,0706401766004415;-0,141280353200883;0,977099236641221;99605;99594;3,7;0;0;0;1;0;0;
0,63;1,10669610007358;0,0706401766004415;-0,141280353200883;0,977099236641221;99604;99595;3,7;0;0;0;1;0;0;
0,64;1,0831493745401;0,047093451066961;-0,105960264900662;0,977099236641221;99602;99595;3,4;0;0;0;1;0;0;
0,65;1,10669610007358;0,0706401766004415;-0,129506990434143;0,977099236641221;99613;99595;3,7;0;0;0;1;0;0;
0,66;1,10669610007358;0,047093451066961;-0,094186902133922;0,977099236641221;99609;99596;3,7;0;0;0;1;0;0;
0,67;1,09492273730684;0,0706401766004415;-0,141280353200883;0,977099236641221;99620;99597;3,7;0;0;0;1;0;0;
0,68;1,0831493745401;0,0588668138337013;-0,117733627667403;0,977099236641221;99594;99597;3,7;0;0;0;1;0;0;
0,69;1,0831493745401;0,0706401766004415;-0,094186902133922;0,977099236641221;99603;99597;3,7;0;0;0;1;0;0;
0,7;1,13024282560706;0,0706401766004415;-0,141280353200883;0,977099236641221;99595;99597;3,7;0;0;0;1;0;0;
0,71;1,09492273730684;0,047093451066961;-0,117733627667403;0,977099236641221;99615;99598;3,7;0;0;0;1;0;0;
0,72;1,10669610007358;0,0588668138337013;-0,117733627667403;0,977099236641221;99610;99598;3,7;0;0;0;1;0;0;
0,73;1,09492273730684;0,047093451066961;-0,141280353200883;0,977099236641221;99596;99598;3,7;0;0;0;1;0;0;
